//X Y Z R G B
-22.30030060 9.67486477 -2.49224901 170 0 0
-22.34910965 9.64697361 -2.48584104 170 0 0
-22.21800423 9.79972744 -2.48581195 170 0 0
-22.18722534 9.74873924 -2.50271392 170 0 0
-22.37389183 9.63257408 -2.48031402 170 0 0
-22.39166069 9.71476364 -2.46381497 170 0 0
-22.33647919 9.75230885 -2.47245097 170 0 0
-22.34993935 9.72161293 -2.47118807 170 0 0
-22.27410889 9.80641937 -2.48000693 170 0 0
-22.38775063 9.84951878 -2.46687508 170 0 0
-22.30843735 9.91434669 -2.47607994 170 0 0
-22.35928726 9.65070724 -2.48107290 170 0 0
-22.43312454 9.59598255 -2.47552991 170 0 0
-22.35749817 9.86118507 -2.46990800 170 0 0
-22.19970131 9.71737385 -2.50442290 170 0 0
-22.34700012 9.65816784 -2.48197699 170 0 0
-22.19985390 9.81639767 -2.48698497 170 0 0
-22.20819283 9.73364353 -2.50199795 170 0 0
-22.34804916 9.85839176 -2.47328210 170 0 0
-22.14365387 9.70527840 -2.50700092 170 0 0
-22.14684105 9.73042679 -2.50602508 170 0 0
-22.38328171 9.69799805 -2.46587992 170 0 0
-22.19905853 9.72962379 -2.50277305 170 0 0
-22.32149124 9.59718418 -2.50826812 170 0 0
-22.35307884 9.58655357 -2.50625896 170 0 0
-22.36466980 9.60375118 -2.50040102 170 0 0
-22.40205956 9.89373398 -2.46669888 170 0 0
-22.33571434 9.59125137 -2.50770712 170 0 0
-22.43165016 9.59533596 -2.47709894 170 0 0
-22.24342346 9.77361202 -2.48256898 170 0 0
-22.37921524 9.72162342 -2.46489191 170 0 0
-22.39315033 9.65324211 -2.46874690 170 0 0
-22.45204353 9.77917576 -2.45996499 170 0 0
-22.38196373 9.57386494 -2.50327492 170 0 0
-22.40318298 9.58305931 -2.48976302 170 0 0
-22.44669914 9.66544437 -2.45404911 170 0 0
-22.37254906 9.61931992 -2.48754191 170 0 0
-22.45424652 9.81638908 -2.46101689 170 0 0
-22.29330635 9.73806953 -2.48105311 170 0 0
-22.26881981 9.66110897 -2.50461793 170 0 0
-22.29080391 9.87246990 -2.47862196 170 0 0
-22.31742668 9.64525318 -2.49807310 170 0 0
-22.25537491 9.71668530 -2.49499106 170 0 0
-22.44081688 9.67392254 -2.45493102 170 0 0
-22.44541931 9.86265469 -2.45957804 170 0 0
-22.35371780 9.62467480 -2.49392200 170 0 0
-22.29426765 9.68302345 -2.49170804 170 0 0
-22.36619949 9.79035091 -2.47019005 170 0 0
-22.39825821 9.69268703 -2.46351790 170 0 0
-22.32501793 9.58658886 -2.51550293 170 0 0
-22.44606400 9.90036106 -2.46240807 170 0 0
-22.24554253 9.71235943 -2.49915290 170 0 0
